Date,Open,High,Low,Close,Adj Close,Volume
2021-10-19,65.139999,67.360001,64.300003,66.110001,66.110001,11486884
2021-10-20,66.360001,68.410004,65.540001,65.800003,65.800003,15938354
2021-10-21,65.669998,65.980003,64.730003,65.400002,65.400002,10918515
2021-10-22,63.810001,64.470001,62.090000,62.240002,62.240002,17636449
2021-10-25,61.520000,62.669998,60.450001,62.110001,62.110001,15874510
2021-10-26,62.660000,63.080002,60.939999,61.430000,61.430000,22676075
2021-10-27,60.049999,60.160000,54.785000,54.810001,54.810001,48107729
2021-10-28,55.080002,55.639999,53.889999,54.290001,54.290001,22508364
2021-10-29,54.009998,54.480000,53.150002,53.540001,53.540001,14832438
2021-11-01,53.560001,55.330002,53.410099,55.110001,55.110001,14747011
2021-11-02,55.040001,55.080002,53.775002,53.990002,53.990002,11571394
2021-11-03,53.680000,54.549999,53.099998,54.529999,54.529999,9774196
2021-11-04,54.580002,54.840000,53.180000,53.680000,53.680000,11284746
2021-11-05,54.110001,54.180000,52.810001,53.150002,53.150002,13273810
2021-11-08,53.450001,54.320000,53.160000,54.080002,54.080002,10565452
2021-11-09,54.110001,54.930000,53.154999,53.700001,53.700001,11230069
2021-11-10,53.250000,53.974998,51.750000,52.330002,52.330002,18858416
2021-11-11,52.590000,52.840000,51.840000,51.980000,51.980000,13972051
2021-11-12,52.299999,52.810001,51.919998,52.250000,52.250000,13287622
2021-11-15,52.410000,53.910000,52.410000,52.950001,52.950001,21965592
2021-11-16,52.860001,53.000000,51.875000,52.110001,52.110001,10743600
2021-11-17,52.029999,52.139999,50.575001,50.610001,50.610001,16968835
2021-11-18,50.650002,50.830002,48.459999,48.599998,48.599998,22373493
2021-11-19,49.119999,50.369999,48.400002,48.400002,48.400002,26162364
2021-11-22,48.509998,48.549999,46.520000,47.310001,47.310001,26620061
2021-11-23,47.200001,47.459999,45.974998,47.139999,47.139999,19663664
2021-11-24,46.660000,47.638000,46.160000,47.520000,47.520000,9979511
2021-11-26,46.639999,47.349998,46.230000,47.070000,47.070000,7861278
2021-11-29,51.880001,52.270000,45.619999,45.779999,45.779999,71686647
2021-11-30,45.509998,45.849998,43.000000,43.939999,43.939999,36213370
2021-12-01,44.910000,46.500000,42.799999,42.820000,42.820000,34145364
2021-12-02,43.060001,43.160000,41.750000,42.650002,42.650002,24374790
2021-12-03,42.820000,43.099998,41.009998,42.070000,42.070000,26133743
2021-12-06,42.110001,44.719898,41.750000,44.470001,44.470001,26228738
2021-12-07,45.070000,46.340000,44.320000,44.459999,44.459999,21200451
2021-12-08,44.599998,46.200001,44.340000,45.720001,45.720001,18408232
2021-12-09,47.209999,48.220001,46.410000,46.459999,46.459999,26145244
2021-12-10,46.599998,46.599998,44.970001,45.560001,45.560001,14060613
2021-12-13,45.549999,45.900002,43.777901,44.599998,44.599998,11710281
2021-12-14,44.040001,44.689999,43.700001,44.349998,44.349998,11205447
2021-12-15,44.000000,44.240002,42.740002,44.070000,44.070000,14962114
2021-12-16,44.430000,45.029999,42.720001,43.130001,43.130001,13052607
2021-12-17,42.700001,44.030102,41.630001,43.070000,43.070000,29137996
2021-12-20,42.369999,43.264999,41.790001,42.980000,42.980000,12319480
2021-12-21,43.230000,44.449902,42.724998,44.360001,44.360001,9537405
2021-12-22,44.049999,44.560001,43.625000,43.900002,43.900002,10134789
2021-12-23,44.000000,44.529999,43.000000,44.160000,44.160000,8977559
2021-12-27,44.209999,44.919998,44.130001,44.330002,44.330002,8596818
2021-12-28,44.209999,44.779999,43.230000,43.430000,43.430000,8838648
2021-12-29,43.169998,43.549999,42.560001,42.759998,42.759998,8732869
2021-12-30,42.770000,45.090000,42.630001,44.459999,44.459999,14541107
2021-12-31,44.340000,44.759998,43.180000,43.220001,43.220001,9829619
